StationID,ActivityStartDate,ActivityStartTime/Time,secchi_units,secchi,source
CW-207,12/16/2019,11:22:00 AM,m,0.5,DHEC
CW-057,3/27/2019,2:31:00 PM,m,2,DHEC
CW-231,10/22/2019,9:44:00 AM,m,0.5,DHEC
RL-19258,3/27/2019,1:07:00 PM,m,0.8,DHEC
LCR-01,10/15/2019,10:49:00 AM,m,0.6,DHEC
CW-207B,7/30/2019,10:44:00 AM,m,0.9,DHEC
CW-033,8/15/2019,10:24:00 AM,m,0.4,DHEC
CL-089,8/13/2019,10:12:00 AM,m,1.2,DHEC
CW-231,5/8/2019,9:46:00 AM,m,0.6,DHEC
CW-016,2/21/2019,11:22:00 AM,m,0.4,DHEC
CW-016F,2/21/2019,11:39:00 AM,m,0.3,DHEC
RL-19166,9/9/2019,12:16:00 PM,m,0.5,DHEC
CW-174,2/21/2019,2:25:00 PM,m,0.3,DHEC
CL-089,8/8/2019,11:06:00 AM,m,0.75,DHEC
RL-19254,5/8/2019,11:07:00 AM,m,0.6,DHEC
CW-207,9/9/2019,11:31:00 AM,m,0.5,DHEC
CL-089,12/16/2019,10:26:00 AM,m,1,DHEC
CL-089,10/8/2019,9:20:00 AM,m,1.15,DHEC
LCR-02,10/23/2019,11:44:00 AM,m,0.65,DHEC
LCR-05,8/6/2019,11:38:00 AM,m,0.6,DHEC
RL-19166,2/6/2019,1:02:00 PM,m,0.25,DHEC
CW-231,12/10/2019,1:57:00 PM,m,0.9,DHEC
CW-207B,10/23/2019,10:25:00 AM,m,0.9,DHEC
RL-19149,3/27/2019,10:52:00 AM,m,0.8,DHEC
LCR-04F,8/20/2019,10:32:00 AM,m,0.9,DHEC
LCR-04F,8/20/2019,10:32:00 AM,m,0.9,DHEC
CL-089,8/27/2019,8:57:00 AM,m,1.02,DHEC
RL-19166,7/30/2019,12:57:00 PM,m,0.5,DHEC
CW-016F,10/22/2019,1:56:00 PM,m,0.4,DHEC
LCR-04,6/11/2019,1:05:00 PM,m,0.3,DHEC
CW-016F,9/17/2019,1:25:00 PM,m,0.4,DHEC
LCR-05,6/25/2019,12:13:00 PM,m,0.6,DHEC
CW-033,3/27/2019,10:35:00 AM,m,0.6,DHEC
LCR-04,8/6/2019,12:07:00 PM,m,0.65,DHEC
LCR-04,10/15/2019,10:14:00 AM,m,0.55,DHEC
CW-174,3/27/2019,10:22:00 AM,m,0.6,DHEC
LCR-03,8/27/2019,12:30:00 PM,m,0.55,DHEC
CL-089,7/30/2019,9:38:00 AM,m,1.2,DHEC
CW-033,7/2/2019,10:52:00 AM,m,1,DHEC
CL-089,7/30/2019,10:52:00 AM,m,1,DHEC
CW-057,10/29/2019,9:18:00 AM,m,0.7,DHEC
LCR-02,9/24/2019,11:59:00 AM,m,0.45,DHEC
CW-207,8/8/2019,12:16:00 PM,m,0.75,DHEC
CW-208,9/24/2019,2:17:00 PM,m,0.5,DHEC
CL-089,1/10/2019,10:57:00 AM,m,0.5,DHEC
LCR-05,6/11/2019,12:32:00 PM,m,0.6,DHEC
LCR-04,7/9/2019,12:02:00 PM,m,0.95,DHEC
LCR-03,10/23/2019,1:13:00 PM,m,0.7,DHEC
LCR-01F,8/20/2019,12:13:00 PM,m,0.53,DHEC
RL-19149,10/22/2019,11:03:00 AM,m,0.9,DHEC
CW-207B,8/13/2019,11:37:00 AM,m,1,DHEC
LCR-03,10/8/2019,1:36:00 PM,m,0.65,DHEC
CW-207B,8/27/2019,9:58:00 AM,m,0.8,DHEC
CW-174,9/17/2019,10:28:00 AM,m,0.9,DHEC
CW-057,8/29/2019,12:08:00 PM,m,0.4,DHEC
CL-089,6/18/2019,10:22:00 AM,m,1,DHEC
CL-089,2/6/2019,11:02:00 AM,m,0.25,DHEC
CW-033,9/17/2019,10:43:00 AM,m,0.9,DHEC
RL-19166,8/8/2019,1:17:00 PM,m,0.75,DHEC
LCR-04,6/25/2019,12:50:00 PM,m,0.7,DHEC
CW-208,6/18/2019,5:41:00 PM,m,0.7,DHEC
LCR-03,6/18/2019,4:37:00 PM,m,0.5,DHEC
CL-089,6/3/2019,11:09:00 AM,m,1.25,DHEC
CW-174,7/2/2019,10:36:00 AM,m,1,DHEC
RL-19149,5/8/2019,10:50:00 AM,m,0.4,DHEC
CW-207,6/3/2019,12:08:00 PM,m,0.75,DHEC
CL-089,7/15/2019,10:31:00 AM,m,0.9,DHEC
